heading,authors,subtitles,timeframe,languages,ratings,ratings_count,prices
The Jane Austen Collection,Written by: Jane Austen,An Audible Original Drama,Length: 45 hrs,Language: English,4.5 out of 5 stars,75 ratings,"₹1,518.00"
The Alchemist (Hindi Edition),"Written by: Paulo Coelho, Anu Singh - translator",,Length: 6 hrs and 36 mins,Language: Hindi,4.5 out of 5 stars,"1,060 ratings",₹214.00
The Stand-In,Written by: Lily Chu,,Length: 10 hrs and 55 mins,Language: English,4.5 out of 5 stars,217 ratings,"₹1,171.00"
Murder on Astor Place,Written by: Victoria Thompson,"Gaslight Mystery, Book 1",Length: 8 hrs and 32 mins,Language: English,4.5 out of 5 stars,56 ratings,₹891.00
Positive Thinking (Hindi Edition),Written by: Napoleon Hill,,Length: 4 hrs and 37 mins,Language: Hindi,5 out of 5 stars,2 ratings,₹69.00
An Elderly Lady Is Up to No Good,"Written by: Helene Tursten, Marlaine Delargy - Translated by",,Length: 3 hrs and 12 mins,Language: English,4.5 out of 5 stars,83 ratings,₹351.00
I Don’t Love You Anymore,Written by: Rithvik Singh,Moving On and Living Your Best Life,Length: 1 hr and 5 mins,Language: English,,Not rated yet,₹502.00
ColdFusion Presents,Written by: Dagogo Altraide,"New Thinking: From Einstein to Artificial Intelligence, the Science and Technology That Transformed Our World",Length: 11 hrs and 38 mins,Language: English,5 out of 5 stars,143 ratings,₹586.00
Dealing with Difficult People,Written by: Harvard Business Review,HBR Emotional Intelligence Series,Length: 1 hr and 47 mins,Language: English,4.5 out of 5 stars,56 ratings,₹234.00
Drop Dead,Written by: Lily Chu,,Length: 11 hrs and 25 mins,Language: English,4 out of 5 stars,16 ratings,"₹1,171.00"
Gaban [Embezzlement],Written by: Premchand,,Length: 12 hrs and 25 mins,Language: Hindi,5 out of 5 stars,113 ratings,
The Chekhov Collection of Short Stories,Written by: Anton Chekhov,,Length: 6 hrs and 50 mins,Language: English,4.5 out of 5 stars,27 ratings,₹569.00
Kill Switch,Written by: Penelope Douglas,"Devil's Night Series, Book 3",Length: 17 hrs and 35 mins,Language: English,4 out of 5 stars,21 ratings,₹820.00
Get inside Her: The Female Perspective,Written by: Marni Kinrys,"Dirty Secrets from a Woman on How to Attract, Seduce and Get Any Female You Want",Length: 6 hrs and 28 mins,Language: English,4.5 out of 5 stars,22 ratings,₹668.00
The Velveteen Rabbit,Written by: Margery Williams,,Length: 24 mins,Language: English,4.5 out of 5 stars,163 ratings,
Dharmayoddha Kalki: Avatar of Vishnu (Hindi Edition),Written by: Kevin Missal,"Kalki, Book 1",Length: 16 hrs and 47 mins,Language: Hindi,5 out of 5 stars,5 ratings,₹69.00
Chhatrapati Shivaji Maharaj (Marathi Edition),Written by: Krishnarao Arjun Keluskar,,Length: 6 hrs and 2 mins,Language: Marathi,5 out of 5 stars,2 ratings,₹69.00
Absolute Tao,Written by: OSHO,"Subtle Is the Way to Love, Happiness and Truth",Length: 15 hrs and 15 mins,Language: English,5 out of 5 stars,31 ratings,₹445.00
Sapiens,Written by: Yuval Noah Harari,,Length: 21 hrs and 42 mins,Language: Hindi,5 out of 5 stars,424 ratings,₹284.00
Heera Pheri [Foul Play],Written by: Surender Mohan Pathak,,Length: 10 hrs and 13 mins,Language: Hindi,5 out of 5 stars,10 ratings,₹69.00
Satyajit Ray Ki Kahaniyan [Stories of Satyajit Ray],Written by: Satyajit Rai,,Length: 8 hrs and 12 mins,Language: Hindi,4.5 out of 5 stars,100 ratings,
"Harry Potter and the Prisoner of Azkaban, Book 3",Written by: J.K. Rowling,,Length: 12 hrs and 3 mins,Language: English,5 out of 5 stars,"1,151 ratings",₹999.00
A Tale of Two Cities,Written by: Charles Dickens,A Story of the French Revolution,Length: 14 hrs and 13 mins,Language: English,5 out of 5 stars,11 ratings,
What Is Life?,"Written by: Erwin Schrödinger, Roger Penrose - foreword",With Mind and Matter and Autobiographical Sketches,Length: 6 hrs and 8 mins,Language: English,4.5 out of 5 stars,24 ratings,₹586.00
The Nvidia Way,Written by: Tae Kim,Jensen Huang and the Making of a Tech Giant,Length: 9 hrs and 42 mins,Language: English,5 out of 5 stars,11 ratings,₹820.00
Charitra (Hindi),Written by: OSHO,,Length: 1 hr and 42 mins,Language: Hindi,5 out of 5 stars,14 ratings,₹167.00
Manusmriti (Hindi Edition),"Written by: Vidya Vihar, Manu",,Length: 23 hrs and 41 mins,Language: Hindi,,Not rated yet,₹69.00
The Magic of Self-Respect,Written by: Osho,Awakening to Your Own Awareness,Length: 29 hrs and 16 mins,Language: English,5 out of 5 stars,59 ratings,₹445.00
